Typee;Individual;Tree Size;Tree Depth;Diversity
Integer;0;1;1;763.153
Integer;((% -54) ((\q:Boolean -> -79) (! False)));10;4;856.312
Integer;((\i:(fresh_139:Boolean -> (Integer)) -> -3) (\fresh_139:Boolean -> (if False then 27 else -40)));8;4;810.407
Integer;((\a:Integer -> a) ((% -9) 91));8;4;807.471
Integer;47;1;1;764.237
Integer;-13;1;1;764.84
Integer;((\w:Top -> 14) ((\w:(fresh_147:Integer -> (Boolean)) -> -->) (\fresh_147:Integer -> True)));8;4;790.187
Integer;((if False then (\f:Boolean -> 55) else (\f:Boolean -> -27)) False);8;4;768.721
Integer;((% 44) -10);5;3;707.06
Integer;((% (if True then -52 else -29)) ((% -77) 79));12;4;992.3
Integer;48;1;1;764.309
Integer;14;1;1;762.893
Integer;((if (! True) then (\l:Boolean -> 32) else (\l:Boolean -> -65)) False);10;4;848.405
Integer;-5;1;1;763.629
Integer;-79;1;1;777.756
Integer;((% -35) (if (! False) then 48 else -57));10;4;895.096
Integer;81;1;1;772.417
Integer;((\i:Top -> 7) ((if False then % else %) -34));9;4;852.328
Integer;((\w:Top -> 5) (&& (! False)));8;4;818.504
Integer;(if ((\k:Boolean -> True) (! False)) then ((\c:Boolean -> -12) (! True)) else ((\v:Boolean -> -6) False));17;4;1441.87
Integer;72;1;1;769.618
Integer;((\c:Boolean -> -80) ((\n:Top -> False) (% -55)));9;4;810.668
Integer;(if (! (! True)) then ((\s:Boolean -> 15) (! False)) else 46);13;4;1149.196
Integer;((if False then (\h:(fresh_155:Boolean -> (Top)) -> 53) else (\h:(fresh_155:Boolean -> (Top)) -> 60)) &&);8;4;803.046
Integer;81;1;1;772.417
Integer;((% 97) ((% 26) 70));9;4;823.575
Integer;((% 25) ((\a:Integer -> 19) 94));8;4;735.444
Integer;-62;1;1;771.863
Integer;(if ((\m:Top -> True) (% 65)) then ((\s:Integer -> 99) (if False then 29 else -39)) else 87);15;4;1235.87
Integer;(if ((\g:Integer -> True) -93) then 96 else ((\j:Integer -> 66) 72));10;4;937.875
Integer;((if True then (\q:Integer -> 47) else (\q:Integer -> -68)) ((\j:Boolean -> -52) (! True)));13;4;995.389
Integer;((if (if False then False else True) then (\p:Integer -> -2) else (\p:Integer -> 55)) ((\l:Boolean -> 72) (if False then True else True)));17;4;1293.965
Integer;((if (! False) then (\x:(fresh_165:Bottom -> (Object)) -> 10) else (\x:(fresh_165:Bottom -> (Object)) -> 37)) (if False then (\fresh_165:Bottom -> fresh_165) else (\fresh_165:Bottom -> fresh_165)));15;4;1209.245
Integer;((% 58) ((% -3) -70));9;4;813.24
Integer;((if (! True) then (\r:Boolean -> 15) else (\r:Boolean -> 57)) ((\g:Integer -> False) -71));13;4;988.158
Integer;((if (! True) then (\y:Boolean -> -3) else (\y:Boolean -> -27)) True);10;4;845.656
Integer;((if (if False then True else True) then (\y:Boolean -> -28) else (\y:Boolean -> 88)) False);11;4;959.374
Integer;((% (if False then -61 else 87)) ((\i:Integer -> 55) (if False then -13 else -87)));14;4;1083.709
Integer;((if (! True) then (\z:Top -> -14) else (\z:Top -> 48)) (if True then (% -48) else ==));15;4;1152.063
Integer;((if False then (\o:Boolean -> -27) else (\o:Boolean -> -8)) ((\w:Top -> True) @evaluate));11;4;893.759
Integer;14;1;1;762.893
Integer;((\a:Top -> 50) ((\o:(fresh_185:Void -> (Void)) -> >=) (\fresh_185:Void -> fresh_185)));8;4;813.442
Integer;-8;1;1;763.989
Integer;-72;1;1;775.007
Integer;((if False then (\l:Boolean -> 81) else (\l:Boolean -> -100)) ((\x:Integer -> True) (if False then -83 else 25)));14;4;1065.221
Integer;((if False then (\w:Boolean -> -56) else (\w:Boolean -> 3)) True);8;4;777.73
Integer;((% -73) ((% 25) -37));9;4;818.37
Integer;((if (if True then False else True) then (\o:Integer -> 49) else (\o:Integer -> -59)) 2);11;4;944.438
Integer;((\n:Boolean -> (if False then -62 else -24)) True);7;4;811.393
Integer;70;1;1;769.086
Integer;((if (if True then True else True) then (\p:Boolean -> -46) else (\p:Boolean -> 79)) (if (if False then False else True) then True else (! True)));19;4;1543.739
Integer;((\c:Integer -> -91) -55);4;3;689.555
Integer;64;1;1;767.574
Integer;-27;1;1;766.871
Integer;((% 100) ((\w:Boolean -> 95) (if True then False else True)));11;4;930.956
Integer;((if (if True then True else False) then (\f:Boolean -> 50) else (\f:Boolean -> 37)) True);11;4;953.097
Integer;((% 1) ((% -63) 5));9;4;816.315
Integer;((if (! False) then (\n:Top -> -41) else (\n:Top -> -60)) ((\k:Boolean -> -->) (if True then False else False)));16;4;1230.733
Integer;(if ((\c:Integer -> False) 11) then 80 else (if (! True) then (if False then -25 else -44) else (if True then -49 else 48)));18;4;1559.342
Integer;-70;1;1;774.295
Integer;12;1;1;762.786
Integer;((% 39) ((\g:(fresh_210:Integer -> (Boolean)) -> -37) (\fresh_210:Integer -> True)));9;4;790.449
Integer;((% 55) ((% -15) -74));9;4;814.29
Integer;44;1;1;764.147
Integer;((% -79) -81);5;3;728.028
Integer;(if (! True) then (if True then 19 else 45) else ((\k:Integer -> -65) 54));12;4;1043.183
Integer;((if (! True) then (\w:Integer -> 18) else (\w:Integer -> -47)) ((\t:(fresh_231:Boolean -> (Boolean)) -> -40) (if True then ! else !)));16;4;1207.969
Integer;((\n:Boolean -> -5) False);4;3;675.964
Integer;((% (if False then 86 else -14)) 24);8;4;846.749
Integer;((\e:Boolean -> (if True then -10 else -23)) ((\t:Integer -> True) 2));10;4;865.342
Integer;((\d:Boolean -> (if False then 93 else 96)) ((\w:Integer -> False) (if False then 96 else 80)));13;4;1072.365
Integer;((\e:Boolean -> 98) False);4;3;693.383
Integer;((\c:Boolean -> 52) ((\w:Boolean -> False) (! True)));9;4;819.662
Integer;((if (! False) then (\u:Integer -> -48) else (\u:Integer -> 8)) ((% -34) -59));14;4;1050.747
Integer;(if True then ((\z:Integer -> -40) (if False then 9 else -41)) else ((\g:Integer -> -62) 91));13;4;1101.255
Integer;((\k:Integer -> 81) -98);4;3;688.354
Integer;((if False then (\n:Boolean -> 9) else (\n:Boolean -> -46)) (if (if True then True else True) then (if True then True else False) else (! False)));19;4;1569.228
Integer;61;1;1;766.811
Integer;-26;1;1;766.751
Integer;((\v:Boolean -> (if False then -69 else 15)) ((\k:Integer -> False) 99));10;4;864.326
Integer;((if (if True then False else True) then (\s:Boolean -> -25) else (\s:Boolean -> 11)) ((\m:Integer -> True) (if False then -1 else -82)));17;4;1272.2
Integer;((\a:Integer -> (if True then -71 else 93)) ((\r:(fresh_235:Double -> (Integer)) -> -73) (\fresh_235:Double -> 68)));11;4;918.064
Integer;35;1;1;763.876
Integer;((% -28) ((% 25) 12));9;4;814.486
Integer;((if (! False) then (\w:Boolean -> 84) else (\w:Boolean -> -8)) ((\r:Integer -> False) -53));13;4;990.26
Integer;((% -63) ((% 29) 11));9;4;816.158
Integer;((% (if True then 34 else -16)) ((% 5) (if False then 78 else 29)));15;4;1179.482
Integer;((% -98) 13);5;3;718.119
Integer;((if False then (\i:Boolean -> -7) else (\i:Boolean -> -55)) (if (! True) then (if False then True else True) else (! False)));18;4;1443.274
Integer;((% 58) ((\m:Boolean -> 27) (! True)));10;4;839.307
Integer;53;1;1;765.031
Integer;((% -38) ((% 62) -14));9;4;816.849
Integer;((\h:Integer -> 99) (if (! True) then -17 else (if True then -58 else 27)));12;4;1049.293
Integer;((if (! False) then (\t:Boolean -> -4) else (\t:Boolean -> 29)) (! (! True)));14;4;1091.527
Integer;((\w:Integer -> 62) ((\n:(fresh_253:Integer -> (Integer)) -> -73) (% -29)));9;4;790.352
Integer;((\b:Top -> -8) (if True then (if False then - else <=) else (% 65)));12;4;1078.892
Integer;((if (! True) then (\m:(fresh_257:Bottom -> (Void)) -> -93) else (\m:(fresh_257:Bottom -> (Void)) -> 46)) (\fresh_257:Bottom -> (if False then fresh_257 else fresh_257)));14;4;1143.927
Integer;((\a:Boolean -> 75) ((\x:Integer -> True) 51));7;4;720.39
Integer;(if ((\x:Integer -> False) (if True then -40 else 38)) then -24 else ((\e:Boolean -> -17) False));13;4;1114.908
Integer;77;1;1;771.107
