Typee,Individual,Tree Size,Tree Depth,Diversity
Integer,((\l:Integer -> 19) -70),4,3,323.224
Integer,-42,1,1,387.266
Integer,((\a:(fresh_7:Integer -> (Integer)) -> 84) (\fresh_7:Integer -> -46)),5,3,388.381
Integer,((\r:Boolean -> 32) (! True)),6,3,451.178
Integer,((\n:Boolean -> 18) (if True then True else True)),7,3,525.466
Integer,-29,1,1,386.568
Integer,((\b:Integer -> 95) 13),4,3,330.374
Integer,((\t:Integer -> 62) (if True then 92 else 83)),7,3,503.246
Integer,43,1,1,390.997
Integer,((\u:Boolean -> -30) True),4,3,339.188
Integer,((% 46) -73),5,3,378.506
Integer,((\k:Integer -> -38) 69),4,3,320.995
Integer,((% -70) -42),5,3,382.675
Integer,((\f:Top -> 67) (--> True)),6,3,462.142
Integer,((% 79) -45),5,3,377.348
Integer,((\i:Top -> -77) ==),4,3,365.011
Integer,((\u:(fresh_9:Boolean -> (Boolean)) -> -92) !),4,3,364.764
Integer,((% -19) (if True then -100 else 16)),8,3,556.909
Integer,87,1,1,397.911
Integer,41,1,1,390.882
Integer,((\g:Integer -> 93) (if False then -67 else 42)),7,3,489.029
Integer,((\l:(fresh_10:Void -> (Top)) -> -41) (\fresh_10:Void -> @evaluate)),5,3,416.375
Integer,-44,1,1,387.717
Integer,((% 9) 100),5,3,381.186
Integer,-11,1,1,387.706
Integer,35,1,1,390.841
Integer,((\k:Integer -> -67) (if False then 68 else 58)),7,3,488.727
Integer,(if (if False then True else False) then -86 else 34),7,3,640.924
Integer,66,1,1,393.977
Integer,((% 46) (if True then -22 else 1)),8,3,556.228
Integer,((\f:Boolean -> 100) (if False then False else False)),7,3,538.531
Integer,(if (if True then False else True) then (if False then 71 else -99) else 98),10,3,860.992
Integer,((\t:Top -> 86) +),4,3,364.906
Integer,97,1,1,401.69
Integer,((\e:Integer -> -63) (if False then -75 else -12)),7,3,491.523
Integer,((% 92) -26),5,3,379.431
Integer,((\k:Boolean -> -82) (! True)),6,3,458.667
Integer,((\w:Boolean -> 15) (! True)),6,3,449.938
Integer,((\n:(fresh_13:Void -> (Integer)) -> 83) (\fresh_13:Void -> -10)),5,3,388.272
Integer,((% 13) -74),5,3,378.292
Integer,((\e:Boolean -> 19) False),4,3,336.997
Integer,30,1,1,390.677
Integer,((\h:Top -> 2) (if False then @evaluate else ^)),7,3,528.791
Integer,((% 83) -36),5,3,377.321
Integer,((% -14) -30),5,3,374.477
Integer,((% 71) 38),5,3,379.082
Integer,((\s:Integer -> 14) 15),4,3,320.94
Integer,-64,1,1,393.242
Integer,((\c:Boolean -> -20) (! False)),6,3,450.298
Integer,((\t:(fresh_16:Void -> (Integer)) -> 77) (\fresh_16:Void -> -48)),5,3,387.252
Integer,-35,1,1,386.552
Integer,((\u:Top -> -34) (--> True)),6,3,455.581
Integer,((% 89) -20),5,3,378.936
Integer,((\j:Boolean -> -94) (if True then True else False)),7,3,533.602
Integer,((\f:Boolean -> -90) (! False)),6,3,462.737
Integer,((\q:Integer -> -4) (if False then 19 else 80)),7,3,484.19
Integer,56,1,1,393.004
Integer,((\x:Top -> -92) (% -42)),6,3,426.878
Integer,((\z:Top -> -67) !=),4,3,362.813
Integer,(if True then 20 else 28),4,2,422.953
Integer,((\t:Boolean -> -42) True),4,3,341.052
Integer,((% 44) (if False then -5 else 13)),8,3,553.545
Integer,81,1,1,396.348
Integer,0,1,1,388.794
Integer,((% 44) 0),5,3,374.536
Integer,70,1,1,394.408
Integer,-29,1,1,386.568
Integer,((\t:(fresh_18:Bottom -> (Integer)) -> -11) (\fresh_18:Bottom -> -46)),5,3,381.338
Integer,((% 16) 95),5,3,380.212
Integer,(if (if False then True else False) then -38 else (if True then 70 else 27)),10,3,872.362
Integer,-81,1,1,398.873
Integer,((\s:Top -> 65) (--> True)),6,3,461.861
Integer,((\e:Boolean -> -36) False),4,3,337.445
Integer,(if True then (if True then -48 else -96) else -60),7,3,622.461
Integer,((% -62) -55),5,3,383.716
Integer,((% 51) -35),5,3,373.655
Integer,((\r:(fresh_20:String -> (Boolean)) -> -39) (\fresh_20:String -> True)),5,3,401.869
Integer,(if True then -55 else 47),4,2,422.568
Integer,((\v:Integer -> -15) 23),4,3,317.969
Integer,(if (! False) then 93 else -77),6,3,534.141
Integer,((\a:Top -> -26) (% 42)),6,3,409.962
Integer,((% -63) (if False then 48 else -86)),8,3,557.645
Integer,98,1,1,402.145
Integer,((% 8) 41),5,3,374.383
Integer,(if False then (if False then 72 else 92) else 100),7,3,624.228
Integer,((% -87) 86),5,3,388.846
Integer,((\m:Top -> -41) ==),4,3,354.817
Integer,(if (! False) then -93 else -57),6,3,540.154
Integer,((\j:Integer -> -14) 81),4,3,321.796
Integer,(if (! True) then 92 else 45),6,3,534.862
Integer,(if (if True then False else False) then -82 else -96),7,3,661.629
Integer,((\s:Top -> -54) @maximize),4,3,359.241
Integer,((% -10) -30),5,3,374.235
Integer,-39,1,1,386.858
Integer,42,1,1,390.913
Integer,((\r:Integer -> -34) (if False then 76 else -24)),7,3,475.997
Integer,((\a:Boolean -> 88) False),4,3,348.352
Integer,((% -22) 89),5,3,377.656
Integer,((% -22) -6),5,3,374.529
Integer,((\r:Boolean -> -24) (! False)),6,3,450.285
