Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
{ x:Integer where ((>[??] x) 0) },Natural,1,1,1,2836.0,1
{ x:Integer where ((>[??] x) 0) },Natural,(if False then 1 else 1),4,2,2879.664,1
{ x:Integer where ((>[??] x) 0) },Natural,1,1,1,2836.0,1
{ x:Integer where ((>[??] x) 0) },Natural,((if True then (\fresh_1:Integer -> (if False then 1 else (if ((\fresh_16:Integer -> True) (if (if True then False else False) then fresh_1 else fresh_1)) then 1 else (if False then fresh_1 else 1)))) else (if (if False then (! True) else ((\fresh_18:Boolean -> True) True)) then (if True then (\fresh_1:Integer -> 1) else (if True then (\fresh_1:Integer -> 1) else (\fresh_1:Integer -> fresh_1))) else (if True then (if (if True then (if False then False else True) else True) then (\fresh_1:Integer -> ((\fresh_30:Boolean -> fresh_1) (! False))) else (\fresh_1:Integer -> 1)) else ((\fresh_32:Boolean -> ((if True then -Int else *Int) 390)) False)))) (if ((if False then ! else (if ((\fresh_3:Boolean -> (if fresh_3 then fresh_3 else fresh_3)) False) then (&& (! True)) else (&& False))) False) then ((if False then string_length else string_length) ((if (if False then (if False then True else True) else False) then ((\fresh_14:Boolean -> (\fresh_8:Integer -> "sBJdwixZimuhLfjIjXJ")) (! (if True then True else True))) else (\fresh_8:Integer -> (if True then (if True then "MULGuDwGOzKchGozPcXluRXCvgsgpSjWCcMgLRiLbEoYnxJrdHWCoEGoBJpzlJWSUQaeoixlGhyhNHTcDeTxWzmMKgWXQsuMccbOmDCDioOCalcHaMEwrEyktwOJCDEcBJidBjM" else "JxTLpgPDENmuWKVpQxXqXtTlXIydfiYuRjAgUKMedgCQLgRUSpaeDDVdiXJGndfieYTIEinoQyqhoWvBXmrgteIYBpSjNLlmWmXkfzSMSypArbsuFpbFEhcOpijczEEbDzXjGCakNvvkQjvFQDvMQFQzAVDPPvXwfoVfxQiphJyZHwCMwWhGMitccAPsACQJbxddJcXafEBHKkjTEFefnWoEMJtXaVkZSChhmksfKbgJZ") else "SscwywrgPzdEmtWiCoBdhTuyvfnxTdcnLjVxnrXkwH"))) ((if False then (\fresh_9:Object -> -158) else (\fresh_9:Object -> -252)) (*Int -498)))) else (if True then 572 else 95))),139,9,13112.26,1
{ x:Integer where ((>[??] x) 0) },Natural,((((\fresh_42:Integer -> (\fresh_41:Integer -> (\fresh_37:Integer -> (if (if True then False else False) then 1 else 1)))) 154) 542) ((\fresh_38:Boolean -> (((\fresh_40:Integer -> (\fresh_39:Boolean -> 71)) 344) False)) True)),25,9,4073.98,1
{ x:Integer where ((>[??] x) 0) },Natural,1,1,1,2836.0,1
{ x:Integer where ((>[??] x) 0) },Natural,1,1,1,2836.0,1
{ x:Integer where ((>[??] x) 0) },Natural,((if (if True then (if False then True else ((\fresh_326:Integer -> True) -341)) else ((\fresh_330:Integer -> True) ((\fresh_331:Integer -> fresh_331) ((\fresh_334:Integer -> 492) (if (if False then False else True) then 418 else -193))))) then (if (if True then False else ((if (if False then True else True) then (\fresh_337:Integer -> True) else (==Int -487)) 46)) then (\fresh_289:Integer -> 1) else (\fresh_289:Integer -> 1)) else ((if True then (if (if (if False then False else False) then True else (if False then False else False)) then (\fresh_341:Boolean -> (\fresh_289:Integer -> 1)) else (\fresh_341:Boolean -> (\fresh_289:Integer -> 1))) else (if True then (\fresh_341:Boolean -> (\fresh_289:Integer -> 1)) else (\fresh_341:Boolean -> (\fresh_289:Integer -> fresh_289)))) False)) (if ((if (if True then True else True) then (if True then (if False then (\fresh_290:Object -> True) else (\fresh_290:Object -> False)) else (\fresh_290:Object -> ((!=Int -45) -492))) else ((\fresh_323:Boolean -> (\fresh_290:Object -> True)) True)) 171) then -311 else 7)),105,9,10059.175,1
{ x:Integer where ((>[??] x) 0) },Natural,(if False then (if (((if False then (\fresh_348:Double -> (\fresh_347:Integer -> False)) else (\fresh_348:Double -> (\fresh_347:Integer -> (if False then True else False)))) (if True then ((\fresh_349:Integer -> 90.94222434882452) -599) else 305.4371518690225)) 157) then (((if False then +Int else %) ((\fresh_368:Boolean -> 54) True)) (if False then (if True then -629 else -375) else 46)) else (((\fresh_370:Object -> (+Int 226)) False) 367)) else 1),50,9,5691.102,1
{ x:Integer where ((>[??] x) 0) },Natural,1,1,1,2836.0,1
