Typee,Individual,Tree Size,Tree Depth,Diversity
Integer,((if (! True) then (\o:Integer -> -36) else (\o:Integer -> -19)) 80),10,4,852.559
Integer,((if (! False) then (\u:Integer -> 50) else (\u:Integer -> -55)) -45),10,4,852.994
Integer,-81,1,1,911.175
Integer,-68,1,1,908.741
Integer,(if ((\m:(fresh_5:String -> (Double)) -> True) (\fresh_5:String -> -29.068704540908925)) then ((\d:Double -> 4) 7.219005808316254) else (if (! True) then 17 else -83)),16,4,1374.203
Integer,-60,1,1,907.299
Integer,((if True then (\l:Double -> -72) else (\l:Double -> 20)) ((\q:Integer -> -27.645062825410633) (if True then 49 else -58))),14,4,974.052
Integer,((\b:Boolean -> 11) ((\p:Integer -> False) -94)),7,4,749.592
Integer,((\j:Integer -> 74) (if (if False then False else False) then -97 else -32)),10,4,962.302
Integer,((if (! False) then (\j:String -> 4) else (\j:String -> -93)) ((\e:(fresh_12:Boolean -> (Integer)) -> jqc) (\fresh_12:Boolean -> 100))),14,4,954.619
Integer,-72,1,1,909.33
Integer,-57,1,1,906.672
Integer,((% 99) (if (if False then True else False) then 51 else -5)),11,4,1007.179
Integer,((\h:Boolean -> -48) ((--> True) False)),8,4,834.262
Integer,((\e:Double -> (if True then 51 else -91)) ((\x:Top -> -54.49149164453502) max)),10,4,913.252
Integer,((% 84) ((\n:Top -> 80) (--> False))),10,4,896.186
Integer,-98,1,1,917.185
Integer,((if True then (\a:(fresh_23:Integer -> (Integer)) -> 41) else (\a:(fresh_23:Integer -> (Integer)) -> -12)) (% (if True then 34 else -5))),13,4,939.144
Integer,((% (if False then -13 else 18)) ((\w:(fresh_25:Top -> (Integer)) -> 25) (\fresh_25:Top -> -80))),12,4,951.158
Integer,(if ((\p:(fresh_33:Boolean -> (Integer)) -> False) (\fresh_33:Boolean -> -87)) then -83 else (if (! False) then (if False then 86 else 58) else 52)),16,4,1382.108
Integer,((if (! True) then (\b:Boolean -> -100) else (\b:Boolean -> -11)) ((\i:Integer -> False) -10)),13,4,930.395
Integer,((% (if True then 61 else 70)) ((% 78) (if False then 5 else -50))),15,4,1167.64
Integer,((\o:Integer -> 28) -31),4,3,764.023
Integer,((if (! True) then (\d:String -> -92) else (\d:String -> -40)) ((\a:Top -> teCqNIakGKeLerPjXIJUEFeqPLbnmUJXbCEjmxbOQFQ) (% -51))),15,4,998.155
Integer,-15,1,1,902.982
Integer,(if (if True then False else (if False then False else True)) then ((\v:Top -> 6) (! True)) else ((\i:Integer -> 71) 69)),18,4,1508.115
Integer,((if (if True then False else True) then (\c:(fresh_47:Boolean -> (Top)) -> -51) else (\c:(fresh_47:Boolean -> (Top)) -> -22)) -->),11,4,936.557
Integer,((if (if False then False else True) then (\w:Double -> -87) else (\w:Double -> 49)) (if True then 95.26842773476503 else -32.888587607327906)),14,4,1087.091
Integer,-9,1,1,902.836
Integer,((\r:Top -> (if False then 6 else 85)) (--> (! False))),11,4,961.565
Integer,((if False then (\t:Boolean -> 33) else (\t:Boolean -> 6)) ((\h:Integer -> True) 53)),11,4,815.191
Integer,((if False then (\i:Top -> -94) else (\i:Top -> 81)) (&& (! False))),12,4,933.918
Integer,((if (if True then True else False) then (\a:Boolean -> 21) else (\a:Boolean -> 39)) ((\z:Top -> True) (|| True))),16,4,1130.386
Integer,((if (! True) then (\q:Integer -> -66) else (\q:Integer -> -3)) ((\j:Double -> 17) 29.15911545744433)),13,4,942.985
Integer,((\q:Integer -> (if False then -21 else 60)) ((\f:Top -> -5) (% 42))),12,4,941.718
Integer,((\h:(fresh_60:Integer -> (Integer)) -> (h 84)) (if (if True then False else False) then (\fresh_60:Integer -> 0) else (\fresh_60:Integer -> 12))),14,4,1157.068
Integer,((% (if False then 69 else 69)) ((\w:(fresh_63:Boolean -> (Top)) -> -29) &&)),11,4,951.382
Integer,((\t:Double -> (if True then -99 else 9)) ((\y:Top -> 89.8964698046411) !)),10,4,906.036
Integer,((if (! True) then (\m:String -> 5) else (\m:String -> 85)) noUlTCXyhmHffyJsZgoygUUab),10,4,816.135
Integer,((if (! False) then (\g:(fresh_64:Integer -> (String)) -> -18) else (\g:(fresh_64:Integer -> (String)) -> 45)) (if True then (\fresh_64:Integer -> ymQOUDGBMTmLOANYMbMABCRUUwjDmywnkfPczyMWYAELRrSCcziziTApRFmWYgeok) else (\fresh_64:Integer -> zVZNLoecnIxtSLOyRmxZJFTdiNbxNUCYZjPrGFfspJWXbqaOvlPJZpcdOMtgnarjvKcdtOrHoMlOphRkq))),15,4,1006.014
Integer,((\f:(fresh_67:Top -> (Boolean)) -> 38) (if (if True then True else True) then (\fresh_67:Top -> False) else (\fresh_67:Top -> True))),12,4,1061.608
Integer,((if (! True) then (\a:Top -> -74) else (\a:Top -> -34)) ((\p:String -> pow) (if True then ndALsvvDKzzqYDcvZoqFDJZHUSsSINbhbdA else UfvfdStCUEksLngcuMmhblpyEtTPHrBsokAZGpQBpRQrYcWznenElRiKKZqHjCJbIcENyrMvfInzFJQzdReWug))),16,4,1040.979
Integer,((if True then (\v:Top -> -51) else (\v:Top -> -82)) (% (if False then 25 else -56))),13,4,947.66
Integer,((\c:(fresh_71:Boolean -> (Integer)) -> 2) (if (! False) then (\fresh_71:Boolean -> -76) else (\fresh_71:Boolean -> -95))),11,4,939.361
Integer,((% (if False then 34 else -17)) ((\f:Boolean -> 68) (! False))),13,4,1008.836
Integer,((if True then (\b:Boolean -> -55) else (\b:Boolean -> 4)) ((\h:Double -> True) (if False then 69.54472795941894 else 0.5912314871717257))),14,4,997.259
Integer,((% -99) ((\l:Double -> -31) 61.96810081587435)),8,4,828.193
Integer,(if True then ((\n:Integer -> -19) -30) else ((\r:Integer -> 85) (if True then 32 else -9))),13,4,1061.334
Integer,-70,1,1,909.036
Integer,((if False then (\i:(fresh_80:Integer -> (Integer)) -> -28) else (\i:(fresh_80:Integer -> (Integer)) -> 26)) (% (if True then 33 else -2))),13,4,940.49
Integer,((if False then (\x:Top -> 28) else (\x:Top -> -54)) ((\c:String -> /) (if False then MRvnMRmizzfPYQgSsfMIaTgYtqcVcWlVEarJerlJWzbYrgLuRBxHkQzWHglzCWNzWUAUzbDwsdQBFUScixaBeeXBBvnobdMsK else GVHdOUiHhKYJHdpgYznsnEgxWTMpdpBBmYmhawNroBJeNfHJtGqAkfxPOmuglTCqLzMDgxj))),14,4,919.875
