Typee,Individual,Tree Size,Tree Depth,Diversity
String,(if ((--> True) True) then (if False then bxFdwtOVhNTbYoUhVZQTiUVyjbQUBnDjVTms else fOBjwFYUrpqTwwJw) else ((\x:(fresh_236:Void -> (Integer)) -> PzZTCsTYHLKVvfYxGLCoorKsjZHsAWBaeMzUfshyzDLrnKdVlIKKAwCAk) (\fresh_236:Void -> 8))),15,4,1146.029
String,((if True then (\s:(fresh_237:(fresh_238:Double -> (String)) -> (Boolean)) -> ZfpgeCYHFEtqcvuQKzKWUegqVwRkkMZSJczYEqjepHXEmvDmrYXGRcazoxQYNGKDpMWH) else (\s:(fresh_237:(fresh_238:Double -> (String)) -> (Boolean)) -> EJcjmAXuFRpAFGuutoRcVxnyaXwkwcfwgBNShFWOJJaUoIUiECKwazkrksfuggUWFUWhlzKuvLdGACoVDNyglYjQErogwJaMJy)) (if (if True then False else True) then (\fresh_237:(fresh_238:Double -> (String)) -> True) else (\fresh_237:(fresh_238:Double -> (String)) -> True))),16,4,1135.0
String,((if True then (\v:Boolean -> CoDUvlpvvoMeoYnNPHzTvIrNwgBkIjrzNLFEhYZSRFhnnXWXoTmSorAphlabccoRjxxtimDVLNAKlWugYdqIpqHDxCZClhU) else (\v:Boolean -> wWsxrdYSTSoBCluwojzue)) True),8,4,657.0
String,((\y:Top -> lpQuMLAPvfajJxEIzoOHOxBhGxJ) ((% 95) (if False then -36 else -16))),11,4,885.356
String,VRMCibu,1,1,834.0
String,((\c:Integer -> (if True then etxyrzEtDsPUJkHqJjMVNzVBqUprbUHziLgEBgaJvLvYhvgHshxjkLDdFgGyiAQOUlttjiiGuzvinOBYysDTZxwGFLpQjkAMG else jnieskWsKkpINziXOYtfLgTENYnRqOAvYRIQIOlmQyJBupXfzMnHgQOdJKMeZAlBnRObpCcSKJnmVetpQjYBWwMgKEZZMGSWTXK)) ((\f:Boolean -> 30) True)),10,4,755.915
String,((if (! True) then (\w:Integer -> UoUbrZWITgXzfRFDtzGaiUsHSBURdUfeetaTPzSbCqVGXGlYYKXAgxlp) else (\w:Integer -> CkeMjYoNmkMkCvdfvvyzEaUSfctx)) ((\j:Boolean -> 76) (! True))),15,4,970.116
String,nArbGrGORfkKUJoCxyuQJGgWUdlQOaVHEdA,1,1,834.0
String,uNwwerAdVLIlWcAXiUbkzrBhQRTsQCqWTRIZyMptqqEFAkJSDWEjEFFSDgMgdOFBLzWLopnVGAKYmElcuXSfXRmzWaSSyuKOY,1,1,834.0
String,yWGFNZeyddFcxGOkKtqhnRmrRlPQwzHDqCQJvLCYbhvcxfjWOhPYZcZqYM,1,1,834.0
String,((if (! True) then (\h:Integer -> bHYddHGXuZMpxCtsDipxQHYOhqOvYky) else (\h:Integer -> AtfJXep)) ((% 25) -87)),14,4,936.406
String,ELJit,1,1,834.0
String,((if (if False then False else True) then (\k:Boolean -> wlanWaKqEdJOAQhkHMiSUsPQrYCJwPChFOVgBNCuCzCPij) else (\k:Boolean -> NhG)) (! (! True))),15,4,1038.0
String,YvUKdcPRkgeVUHkXz,1,1,834.0
String,((\t:Boolean -> QXqccVkdyPnNKfBGTBRpqhDeIciiRRJJtlhuDYnPrmBtdwhjqZvKV) (! (! False))),8,4,776.0
String,((if (! False) then (\y:(fresh_248:Void -> (Top)) -> aqyifdSjnpRYnFucATiOFaIDjAiVrjihjUNOhCCDLKOaWKrxvusfRNBvsTDfCriGZudLgzwnMfGpWsoqVnbjpnfrIfSzFAhiIHv) else (\y:(fresh_248:Void -> (Top)) -> AvZZFhzcIqTeUocJetiqxkBpAzzPddWbQDxNRwiwfOSAGKc)) (\fresh_248:Void -> (--> False))),13,4,922.0
String,((if (! False) then (\c:String -> dsPzsdjBpUQdXAioNDMHdnOeuolzVYKXMdFBfdqRIcbcstlbhBfOmRwmLCQnVeALqzYMX) else (\c:String -> ljQsLLz)) V),10,4,704.0
String,((if False then (\w:String -> odIVMHHjdwqUAooIcoQPgdncuAmCfCDSSqdp) else (\w:String -> LHixqQayJoNcabVSohMtxMWQTrkPHojZlLWdrPdMHdxgmHycwUzAwpDQKBWGySjNj)) kxEhXPspvJXCDpBffwmdEaEHlwpvIzYbBGn),8,4,621.0
