Typee,Individual,Tree Size,Tree Depth,Diversity
Boolean,False,1,1,785.0
Boolean,((if True then (\h:Integer -> True) else (\h:Integer -> False)) ((% -14) 14)),12,4,928.812
Boolean,True,1,1,801.0
Boolean,(((\c:String -> !) bIzvexNsOFKFbVhgBZlYV) ((\w:Integer -> False) (if True then 23 else 98))),12,4,898.451
Boolean,((if (! False) then (\u:Integer -> False) else (\u:Integer -> True)) ((\i:Top -> -45) (% -18))),15,4,1090.547
Boolean,(if ((\j:(fresh_358:Void -> (Boolean)) -> True) (\fresh_358:Void -> True)) then ((\c:Integer -> True) (if False then 81 else -80)) else ((&& True) False)),18,4,1452.147
Boolean,True,1,1,801.0
Boolean,((\f:(fresh_359:Double -> (Integer)) -> False) (\fresh_359:Double -> (if False then -96 else 38))),8,4,846.442
Boolean,(((\o:Integer -> !) 74) (if (! False) then (if False then True else False) else False)),14,4,1166.184
Boolean,((\r:Integer -> (! True)) ((\f:Double -> -99) -37.48139360871081)),9,4,794.452
Boolean,((\g:String -> (! False)) ((\t:Boolean -> JBPEgeghVhMfvXMBVogYffDRsYDDpFDmrJCIxBVSUVZzLlCEYsyhzZiBHrZyBrxNdEGbqLvxAJrOdyaqmnJhqppgsiMSetlCOxB) (! True))),11,4,815.0
Boolean,((if (if True then False else False) then (\s:(fresh_367:Boolean -> (Integer)) -> False) else (\s:(fresh_367:Boolean -> (Integer)) -> False)) (if (! False) then (\fresh_367:Boolean -> 25) else (\fresh_367:Boolean -> -94))),18,4,1405.986
Boolean,False,1,1,785.0
Boolean,((\s:Integer -> (if False then False else False)) ((\e:Integer -> 95) -7)),10,4,851.426
Boolean,False,1,1,785.0
Boolean,((if (! False) then (\a:Double -> False) else (\a:Double -> False)) ((\o:Integer -> -55.0276842302643) 20)),13,4,983.235
Boolean,((\l:Integer -> False) ((\q:Top -> 97) (if False then @minimize else abs))),10,4,879.768
Boolean,(((\v:Integer -> !) -78) ((\o:String -> True) MuPWwtWhECDRDkDZLJnNHMxyWUKbliTWlTsVLlTkTGSwAbWsGnaCuIIeUkiKBIhJLOwvYsoNuYhQbXp)),9,4,725.915
Boolean,((if True then ! else (&& True)) True),8,4,911.0
Boolean,((if True then (\f:Integer -> True) else (\f:Integer -> False)) ((% -27) (if False then 53 else -19))),15,4,1123.833
Boolean,False,1,1,785.0
Boolean,((if True then (\m:Integer -> True) else (\m:Integer -> True)) ((% 64) -10)),12,4,960.031
